#Top: Adder   Floorplan: elab_constrs_1   Part: xc7a100tcsg324-1
#Generated by: Mo'men   on: Wed Aug 10 23:11:55 2016
#Build: PlanAhead v14.7   by: xbuild   on: Fri Sep 27 19:29:51 MDT 2013

################################################################################
#INVALID / INCOMPLETE PINOUT
#There are 19 unassigned signals in this design. The last 19 rows of this file list these signals.
################################################################################

IO Bank,Pin Number,IOB Alias,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Trace Length (um),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,Pull Type,IN_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
0,K9,IPAD_X0Y31,VN_0,107.271,108.349,,,,,,,,,,,,,,,
0,J10,IPAD_X0Y30,VP_0,101.281,102.299,,,,,,,,,,,,,,,
0,R9,,VCCO_0,,,,,,,,,,,,,,,,VCCO_0,
14,R11,IOB_X0Y99,IO_0_14,81.619,82.439,,,,,,,,,,,,,,,
14,K17,IOB_X0Y98,IO_L1P_T0_D00_MOSI_14,74.407,75.155,,,,,,,,,,,,,,,
14,K18,IOB_X0Y97,IO_L1N_T0_D01_DIN_14,84.245,85.092,,,,,,,,,,,,,,,
14,L14,IOB_X0Y96,IO_L2P_T0_D02_14,78.386,79.173,,,,,,,,,,,,,,,
14,M14,IOB_X0Y95,IO_L2N_T0_D03_14,76.729,77.500,,,,,,,,,,,,,,,
14,L15,IOB_X0Y94,IO_L3P_T0_DQS_PUDC_B_14,76.812,77.584,,,,,,,,,,,,,,,
14,L16,IOB_X0Y93,IO_L3N_T0_DQS_EMCCLK_14,74.923,75.675,,,,,,,,,,,,,,,
14,L18,IOB_X0Y92,IO_L4P_T0_D04_14,77.844,78.626,,,,,,,,,,,,,,,
14,M18,IOB_X0Y91,IO_L4N_T0_D05_14,81.081,81.896,,,,,,,,,,,,,,,
14,R12,IOB_X0Y90,IO_L5P_T0_D06_14,107.699,108.781,,,,,,,,,,,,,,,
14,R13,IOB_X0Y89,IO_L5N_T0_D07_14,102.991,104.027,,,,,,,,,,,,,,,
14,L13,IOB_X0Y88,IO_L6P_T0_FCS_B_14,74.854,75.606,,,,,,,,,,,,,,,
14,M13,IOB_X0Y87,IO_L6N_T0_D08_VREF_14,80.430,81.239,,,,,,,,,,,,,,,
14,R18,IOB_X0Y86,IO_L7P_T1_D09_14,92.082,93.008,,,,,,,,,,,,,,,
14,T18,IOB_X0Y85,IO_L7N_T1_D10_14,92.545,93.475,,,,,,,,,,,,,,,
14,N14,IOB_X0Y84,IO_L8P_T1_D11_14,90.908,91.822,,,,,,,,,,,,,,,
14,P14,IOB_X0Y83,IO_L8N_T1_D12_14,90.365,91.273,,,,,,,,,,,,,,,
14,N17,IOB_X0Y82,IO_L9P_T1_DQS_14,71.957,72.680,,,,,,,,,,,,,,,
14,P18,IOB_X0Y81,IO_L9N_T1_DQS_D13_14,75.330,76.087,,,,,,,,,,,,,,,
14,M16,IOB_X0Y80,IO_L10P_T1_D14_14,61.620,62.240,,,,,,,,,,,,,,,
14,M17,IOB_X0Y79,IO_L10N_T1_D15_14,62.902,63.534,,,,,,,,,,,,,,,
14,N15,IOB_X0Y78,IO_L11P_T1_SRCC_14,58.149,58.734,,,,,,,,,,,,,,,
14,N16,IOB_X0Y77,IO_L11N_T1_SRCC_14,64.406,65.054,,,,,,,,,,,,,,,
14,P17,IOB_X0Y76,IO_L12P_T1_MRCC_14,83.170,84.006,,,,,,,,,,,,,,,
14,R17,IOB_X0Y75,IO_L12N_T1_MRCC_14,87.778,88.660,,,,,,,,,,,,,,,
14,P15,IOB_X0Y74,IO_L13P_T2_MRCC_14,74.071,74.816,,,,,,,,,,,,,,,
14,R15,IOB_X0Y73,IO_L13N_T2_MRCC_14,72.526,73.255,,,,,,,,,,,,,,,
14,T14,IOB_X0Y72,IO_L14P_T2_SRCC_14,92.020,92.945,,,,,,,,,,,,,,,
14,T15,IOB_X0Y71,IO_L14N_T2_SRCC_14,94.628,95.579,,,,,,,,,,,,,,,
14,R16,IOB_X0Y70,IO_L15P_T2_DQS_RDWR_B_14,77.419,78.197,,,,,,,,,,,,,,,
14,T16,IOB_X0Y69,IO_L15N_T2_DQS_DOUT_CSO_B_14,71.888,72.611,,,,,,,,,,,,,,,
14,V15,IOB_X0Y68,IO_L16P_T2_CSI_B_14,92.094,93.019,,,,,,,,,,,,,,,
14,V16,IOB_X0Y67,IO_L16N_T2_A15_D31_14,88.004,88.889,,,,,,,,,,,,,,,
14,U17,IOB_X0Y66,IO_L17P_T2_A14_D30_14,95.348,96.307,,,,,,,,,,,,,,,
14,U18,IOB_X0Y65,IO_L17N_T2_A13_D29_14,89.316,90.214,,,,,,,,,,,,,,,
14,U16,IOB_X0Y64,IO_L18P_T2_A12_D28_14,95.593,96.554,,,,,,,,,,,,,,,
14,V17,IOB_X0Y63,IO_L18N_T2_A11_D27_14,92.189,93.116,,,,,,,,,,,,,,,
14,T11,IOB_X0Y62,IO_L19P_T3_A10_D26_14,100.983,101.997,,,,,,,,,,,,,,,
14,U11,IOB_X0Y61,IO_L19N_T3_A09_D25_VREF_14,104.946,106.000,,,,,,,,,,,,,,,
14,U12,IOB_X0Y60,IO_L20P_T3_A08_D24_14,118.306,119.494,,,,,,,,,,,,,,,
14,V12,IOB_X0Y59,IO_L20N_T3_A07_D23_14,110.519,111.629,,,,,,,,,,,,,,,
14,V10,IOB_X0Y58,IO_L21P_T3_DQS_14,119.020,120.216,,,,,,,,,,,,,,,
14,V11,IOB_X0Y57,IO_L21N_T3_DQS_A06_D22_14,109.157,110.255,,,,,,,,,,,,,,,
14,U14,IOB_X0Y56,IO_L22P_T3_A05_D21_14,92.777,93.709,,,,,,,,,,,,,,,
14,V14,IOB_X0Y55,IO_L22N_T3_A04_D20_14,94.479,95.428,,,,,,,,,,,,,,,
14,T13,IOB_X0Y54,IO_L23P_T3_A03_D19_14,97.183,98.160,,,,,,,,,,,,,,,
14,U13,IOB_X0Y53,IO_L23N_T3_A02_D18_14,93.744,94.687,,,,,,,,,,,,,,,
14,T9,IOB_X0Y52,IO_L24P_T3_A01_D17_14,114.525,115.677,,,,,,,,,,,,,,,
14,T10,IOB_X0Y51,IO_L24N_T3_A00_D16_14,117.152,118.330,,,,,,,,,,,,,,,
14,R10,IOB_X0Y50,IO_25_14,95.789,96.752,,,,,,,,,,,,,,,
14,L17,,VCCO_14,,,,,,,,,,,,,,,,VCCO_14,
14,N13,,VCCO_14,,,,,,,,,,,,,,,,VCCO_14,
14,P16,,VCCO_14,,,,,,,,,,,,,,,,VCCO_14,
14,T12,,VCCO_14,,,,,,,,,,,,,,,,VCCO_14,
14,U15,,VCCO_14,,,,,,,,,,,,,,,,VCCO_14,
14,V18,,VCCO_14,,,,,,,,,,,,,,,,VCCO_14,
15,G13,IOB_X0Y149,IO_0_15,70.203,70.908,,,,,,,,,,,,,,,
15,D14,IOB_X0Y148,IO_L1P_T0_AD0P_15,78.190,78.976,,,,,,,,,,,,,,,
15,C14,IOB_X0Y147,IO_L1N_T0_AD0N_15,81.728,82.549,,,,,,,,,,,,,,,
15,B13,IOB_X0Y146,IO_L2P_T0_AD8P_15,97.970,98.954,,,,,,,,,,,,,,,
15,B14,IOB_X0Y145,IO_L2N_T0_AD8N_15,92.017,92.942,,,,,,,,,,,,,,,
15,C12,IOB_X0Y144,IO_L3P_T0_DQS_AD1P_15,102.084,103.110,,,,,,,,,,,,,,,
15,B12,IOB_X0Y143,IO_L3N_T0_DQS_AD1N_15,105.500,106.560,,,,,,,,,,,,,,,
15,B11,IOB_X0Y142,IO_L4P_T0_15,104.770,105.822,,,,,,,,,,,,,,,
15,A11,IOB_X0Y141,IO_L4N_T0_15,106.397,107.467,,,,,,,,,,,,,,,
15,F13,IOB_X0Y140,IO_L5P_T0_AD9P_15,91.187,92.103,,,,,,,,,,,,,,,
15,F14,IOB_X0Y139,IO_L5N_T0_AD9N_15,82.679,83.510,,,,,,,,,,,,,,,
15,D12,IOB_X0Y138,IO_L6P_T0_15,91.176,92.092,,,,,,,,,,,,,,,
15,D13,IOB_X0Y137,IO_L6N_T0_VREF_15,83.627,84.468,,,,,,,,,,,,,,,
15,B16,IOB_X0Y136,IO_L7P_T1_AD2P_15,90.262,91.169,,,,,,,,,,,,,,,
15,B17,IOB_X0Y135,IO_L7N_T1_AD2N_15,87.392,88.270,,,,,,,,,,,,,,,
15,A15,IOB_X0Y134,IO_L8P_T1_AD10P_15,107.615,108.697,,,,,,,,,,,,,,,
15,A16,IOB_X0Y133,IO_L8N_T1_AD10N_15,108.313,109.401,,,,,,,,,,,,,,,
15,A13,IOB_X0Y132,IO_L9P_T1_DQS_AD3P_15,110.190,111.298,,,,,,,,,,,,,,,
15,A14,IOB_X0Y131,IO_L9N_T1_DQS_AD3N_15,113.279,114.417,,,,,,,,,,,,,,,
15,B18,IOB_X0Y130,IO_L10P_T1_AD11P_15,93.777,94.720,,,,,,,,,,,,,,,
15,A18,IOB_X0Y129,IO_L10N_T1_AD11N_15,99.041,100.036,,,,,,,,,,,,,,,
15,E15,IOB_X0Y128,IO_L11P_T1_SRCC_15,74.981,75.735,,,,,,,,,,,,,,,
15,E16,IOB_X0Y127,IO_L11N_T1_SRCC_15,86.574,87.444,,,,,,,,,,,,,,,
15,D15,IOB_X0Y126,IO_L12P_T1_MRCC_15,78.751,79.543,,,,,,,,,,,,,,,
15,C15,IOB_X0Y125,IO_L12N_T1_MRCC_15,79.405,80.203,,,,,,,,,,,,,,,
15,H16,IOB_X0Y124,IO_L13P_T2_MRCC_15,66.454,67.122,,,,,,,,,,,,,,,
15,G16,IOB_X0Y123,IO_L13N_T2_MRCC_15,55.503,56.061,,,,,,,,,,,,,,,
